cell_line_id,top_10_drug_ids
971773,"1007,201,1494,1003,1248,1004,268,135,180,22"
971777,"104,1016,1003,180,283,268,1060,1004,194,124"
1240128,"1372,1031,268,1060,1057,1373,328,272,1006,149"
1240173,"1007,1016,1372,1494,1248,1004,1166,1242,194,152"
1240181,"1248,180,200,184,194,53,328,182,185,16"
1240182,"200,274,24"
1240183,"268,194,182,45,229,11"
1240189,"1248,268,140,346,1004,11,180,200,87,13"
1240193,"201,180,140,346,283,268,226,208,11,8"
1240221,"1494,346,1248,268,208,328,226,1259,1166,27"
1247871,"104,1003,201,155,3,140,268,283,135,20"
1290455,"1248,346,1372,140,135,1004,268,11,208,106"
1290769,"1372,1060,1261,1498,1526,1242,1015,1012,1038,116"
1295740,"155,104,1494,1003,1248,201,1004,51,140,18"
1295741,"104,1248,1004,268,180,140,11,346,87,20"
1297439,"268,331,300,235,245,19"
1297446,"104,1248,1494,346,180,200,194,328,208,8"
1297447,"346,180,1004,268,1248,200,194,53,328,25"
1297449,"104,283,180,140,1016,268,346,135,51,1"
1298352,"268,180,194,328,200,272,262,274,235,30"
1299075,"1007,283,268,11,200,184,346,273,60,27"
1303896,"3,104,140,1248,51,1016,11,155,83,105"
1303897,"1003,1248,1494,268,1057,135,208,87,1023,116"
1303901,"268,180,346,200,272,273,274,88,301,33"
1322218,"135,1494,140,268,283,208,194,11,133,20"
1322224,"1248,1004,1261,208,1049,87,1024,1026,60,5"
1323913,"1248,201,1004,140,1494,1003,346,135,87,137"
1327766,"104,1004,1248,180,268,140,346,11,87,20"
1327768,"1494,104,1248,1003,135,268,87,1023,200,22"
1327769,"1003,135,1494,268,140,11,346,1004,200,8"
1327771,"155,1248,1013,1004,1003,261,159,260,1060,13"
1327774,"1003,104,283,135,1494,201,1248,140,3,100"
1330931,"104,1248,155,201,51,346,11,268,1261,20"
1330933,"1248,1003,1494,346,1004,268,180,3,11,101"
1330935,"1003,1248,1057,268,200,1024,328,83,272,105"
1330942,"200,1011,272,274,224,175,1012,45,275,26"
1330943,"104,283,1248,268,346,1016,1057,87,302,32"
1330947,"104,254,1248,277,346,283,1022,1494,268,100"
1330950,"104,3,283,346,1248,208,268,135,180,149"
1330960,"3,104,51,155,268,1003,87,83,11,34"
1330965,"268,272,225,9"
1330972,"1003,1494,1248,268,87,1057,60,135,1166,125"
1330974,"268,180,200,53,83,182,235,272,86,"
1330981,"104,135,180,200,194,206,53,223,182,13"
1330982,"283,1003,1248,135,1004,346,197,140,268,149"
1330983,"1248,283,1003,1494,1004,346,200,135,194,1"
1330984,"1003,201,1248,283,140,11,135,226,268,34"
1330985,"104,1248,283,206,200,346,135,268,87,19"
1330987,"104,1494,201,1248,1003,1004,140,135,268,19"
1330988,"3,268,283,346,11,83,208,51,328,5"
1330991,"283,346,1248,1004,11,87,60,208,194,30"
1330995,"1248,1262,24"
1331025,"1248,268,200,272,274,299,1012,275,106,24"
1331031,"1248,346,268,208,180,200,194,328,1008,27"
1331032,"346,268,1494,135,180,194,200,11,328,20"
1331034,"283,104,180,201,140,3,1248,1004,268,5"
1331035,"3,104,180,268,11,83,1261,208,194,5"
1331037,"283,104,3,1004,140,11,1016,180,268,5"
1331038,"104,197,268,180,283,135,87,60,200,1"
1331039,"104,1003,1494,1004,283,1248,268,1011,200,5"
1331040,"1004,1003,1494,283,1008,11,140,268,281,18"
1331043,"180,11,200,53,83,9,182,163,157,17"
1331044,"135,268,133,200,136,302,272,299,223,27"
1331045,"1003,1494,283,135,1261,208,200,302,182,29"
1331046,"104,283,268,197,346,135,200,208,273,8"
1331048,"104,1248,268,346,208,1057,328,273,272,20"
1331049,"1248,135,1494,346,268,194,11,180,283,14"
1331050,"1230,1004,1016,1008,1236,1057,268,1166,136,105"
1333014,"11,200,268,60,87,133,53,32,88,8"
1333015,"346,11,200,87,208,60,226,133,272,3"
688087,"235,1091,1243,123"
713885,"268,1004,1248,1261,1166,299,302,252,83,8"
724831,"201,180,135,194,197,268,133,200,182,15"
753536,"1494,268,53,136,1218,190,1243,1219,192,16"
753559,"1494,201,135,11,180,140,87,1248,194,13"
753599,"87,268,60,200,86,1264,1164,11"
753611,"180,268,1248,200,208,60,272,274,41,26"
905948,"1007,1004,1166,170,56,156,153,157,1066,9"
905964,"3,1004,1007,268,180,11,1016,1248,83,13"
906832,"1004,268,1248,1003,180,1494,1016,346,200,105"
907175,"268,11,87,1248,208,60,1149,53,219,8"
907272,"1004,140,87,268,200,180,226,208,197,1"
907281,"346,1004,180,268,283,11,140,87,200,6"
907284,"346,87,200,208,268,53,60,32,226,27"
907290,"1372,1060,180,1261,268,346,328,1049,86,106"
907300,"1004,268,180,87,1011,60,346,194,53,32"
908119,
908152,"1494,1259,1192,1378,1047,115"
908156,"1003,254,1007,1494,1248,135,201,346,1004,102"
908158,"283,180,135,1004,1003,346,268,140,226,19"
908464,"268,200,273,272,274,276,45,291,24"
908467,"1248,1003,1494,1031,268,272,235,41,1038,123"
908469,"1248,268,11,208,60,38,1161,41,291,126"
908473,"1372,268,1498,1527,1526,1015,1091,106,1219,24"
909702,"1494,1003,283,87,208,180,268,1008,140,100"
909740,"268,140,87,60,180,194,11,200,208,32"
909762,"268,180,87,60,86,272,45,41,229,24"
910695,"180,3,11,87,200,51,60,163,62,8"
910780,"1003,180,87,208,1008,268,200,194,272,18"
910920,"56,51,83,200,182,86,157,45,166,3"
910932,"1372,182,83,194,268,200,9,45,173,123"
910937,"1494,1003,1248,11,136,208,200,133,299,30"
924106,"268,133,194,200,86,136,328,83,273,27"
924187,"268,53,200,86,163,45,229,26"
924189,"64,6"
924244,"104,201,268,1007,180,140,1031,194,200,1"
946353,"104,1007,140,201,11,1248,1004,87,60,19"
946357,"1494,1003,1248,1004,1008,1218,1050,1012,1219,123"
949158,"201,135,1003,1248,1031,1494,180,283,1007,34"
949167,"1494,1003,1248,1259,1166,1529,1239,1142,1091,116"
949179,"1031,1248,1004,35,11,87,133,200,60,5"
1240166,"3,135,1007,180,1004,268,1248,1031,1261,105"
1303900,"180,346,200,1011,1059,252,299,272,190,33"
1327775,"3,180,346,1248,140,87,11,268,184,19"
1327776,
1330986,
753533,"104,201,135,1494,1003,268,180,1016,194,124"
909732,"104,201,135,1494,140,1003,1248,11,1004,13"
909759,"1494,201,1003,1007,135,180,1004,140,133,1"
910779,"201,11,180,140,135,268,194,87,60,8"
946354,"1007,11,201,1004,180,140,197,87,184,5"
949092,"53,45,62,4"
906807,"1004,1003,1248,1016,1494,1008,1057,1059,1529,8"
908146,"1494,1248,1003,268,1372,1004,87,208,11,106"
688022,
924241,
683667,"1007,1031,268,1004,1016,1166,208,328,219,116"
684052,"1494,1248,268,180,140,208,135,194,200,125"
687452,"1007,201,1004,1494,1003,268,140,180,226,19"
687455,"180,268,190,328,272,1166,274,152,245,29"
687457,"1007,1004,1016,1057,1261,1026,1529,1062,1527,105"
687459,"268,200,1026,153,163,166,1243,1239,17"
687505,"1494,1003,1007,268,1248,140,135,1031,1004,18"
687506,"1007,1031,180,1248,194,1026,133,200,1149,13"
687514,"1494,1003,268,283,208,136,302,299,1529,105"
687561,"1007,268,1248,1494,1031,1057,194,1026,153,152"
687563,"180,1248,135,194,133,1529,157,1050,207,104"
687586,"1007,180,1248,1057,194,1026,153,157,1378,123"
687588,"1494,194,302,1133,1175,1243,106"
687592,"1007,201,1003,197,140,135,1004,180,194,20"
687596,"140,180,1248,268,194,1239,1243,172,106"
687777,"201,283,135,200,194,133,164,182,136,29"
687780,"201,1004,1248,268,180,140,194,135,200,13"
687787,"1007,268,1004,180,197,200,208,182,1529,105"
687794,"201,1007,140,268,180,1004,1060,135,200,19"
687798,"1003,1494,1261,268,1058,1377,1529,272,16"
687802,"268,194,200,273,272,1243,24"
687812,"283,268,180,194,1057,200,302,182,170,15"
687815,"180,135,136,1261,200,190,182,157,1377,17"
687816,"201,135,180,140,133,194,136,200,268,18"
687819,"180,201,140,268,135,194,133,200,136,18"
687820,"268,180,1372,194,1166,200,272,229,172,116"
687821,"180,194,135,268,200,182,1262,173,167,124"
687829,"268,346,1031,135,208,133,200,194,272,27"
687985,"1007,180,201,268,140,1248,1004,346,283,103"
687995,"1494,1003,1007,283,268,346,1004,1248,135,20"
688011,"272,1018,24"
688058,"194,268,163,170,1066,1069,17"
713880,"201,135,1007,140,180,1494,268,197,1004,124"
713899,"201,180,1248,1031,268,1004,140,135,1008,19"
717431,"1003,1248,1494,135,194,200,184,136,133,18"
722045,"201,140,268,180,197,194,1248,1057,133,34"
722046,"201,1261,135,1007,140,1004,180,1372,197,19"
722058,"1003,180,268,135,194,133,200,136,190,15"
722066,"1007,268,180,194,328,1239,1038,1243,151,17"
724812,"1494,180,268,194,1378,1529,190,1239,1243,121"
724828,"1060,1372,268,272,224,1498,274,1242,235,27"
724834,"268,1494,180,135,1372,194,208,133,346,20"
724838,"1248,180,1494,268,283,1004,135,1261,194,20"
724839,"1494,1007,268,1031,135,194,1022,182,1019,102"
724855,"135,180,194,200,1372,184,133,182,136,18"
724858,"268,180,194,293,133,200,272,204,182,30"
724868,"1007,1004,180,1248,1372,194,1026,1166,224,18"
724869,"1372,268,200,299,1091,1243,119"
724870,"201,1007,1494,1003,1004,1031,140,180,1026,106"
724873,"201,1007,180,1494,135,194,268,133,200,17"
724874,"1372,1526,1498,1527,1062,1264,106"
724878,"1003,1494,268,194,190,136,1166,170,15"
724879,"268,140,1261,229,1133,1239,24"
749709,"208,283,268,140,1166,235,219,157,331,22"
749710,"1248,346,200,268,328,182,173,17"
749712,"180,140,163,190,173,157,24"
749714,"180,1031,268,194,346,190,200,291,24"
749717,"268,140,180,194,200,135,133,328,190,16"
753534,"200,163,299,173,1129,1069,16"
753535,"201,180,1494,268,135,194,182,200,133,34"
753538,"1007,201,1494,1003,1031,1004,140,1248,268,13"
753540,"201,180,268,283,194,135,133,182,1248,20"
753541,"1007,201,1004,1003,1494,283,1031,140,135,101"
753545,"1372,268,1248,1060,180,346,1373,1026,194,101"
753553,"268,328,272,17"
753554,"1494,1003,1007,135,1372,140,1026,200,194,126"
753556,"201,1007,140,268,283,1372,135,208,346,19"
753561,"1007,268,1031,180,1026,182,136,1378,157,101"
753562,"201,1007,1494,140,268,180,135,194,133,18"
753566,"201,1494,180,135,136,194,133,182,170,15"
753570,"1248,268,194,200,163,272,1378,1239,158,113"
753572,"201,140,268,1494,208,180,135,194,133,152"
753573,"201,1007,180,194,182,135,200,133,282,32"
753574,"201,180,1007,1016,1004,140,194,268,1057,100"
753575,"180,268,194,170,22"
753576,"180,194,200,182,136,1199,1239,167,121"
